Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Grams,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Age,Pieces,Rating,Rating Count
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/c518e7109ee29b3d72fce2fbd6a4b5e9.jpg,7,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/5e0b1d3cd63de40983a0bcc42f847994.jpg,8,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks","BACK TO THE FUTURE TOY CAR – LEGO® Speed Champions Time Machine from Back to the Future model car kit for boys and girls ages 9 and up to build, display and recreate movie scenes
2 MINIFIGURES – This Back to the Future toy comes with 2 characters from the movie franchise: Doc Brown and Marty McFly to place inside the cockpit and enjoy role play
2 PLAY OPTIONS – The car toy has a lightning hook from the first movie, or it can be rebuilt into flying mode with sideways wheels and Mr. Fusion from the second movie
AUTHENTIC DETAILS – Iconic model car features details from the movie version including rear air vents, cockpit, the flux capacitor, time calculator and so much more
BACK TO THE FUTURE GIFT – This Back to the Future merchandise provides a fun build-and-play experience and is a great gift idea for kids, movie fans and nostalgic adults
EXPAND THE FUN – Discover more LEGO® Speed Champions car playsets (sold separately) packed with authentic details
ICONIC CARS FOR PLAY AND DISPLAY – LEGO® Speed Champions car building kits let kids and passionate car fans build replica versions of some of the world’s most famous vehicles
DIMENSIONS – A 357-piece playset featuring a Back to the Future car model measuring over 4 in. (10 cm) high, 6.5 in. (17 cm) long and 2.5 in. (7 cm) wide",LEGO,Speed Champions,"New, Speed Champions, Building Toys, Ages 9+, Speed Champions, Novelty",TRUE,Title,Default Title,77256,5702018068229,shopify,0,deny,manual,424,2099.00,,TRUE,TRUE,https://ph-live.slatic.net/p/10cfcf180224235d0f8c3360209e0d73.jpg,1,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",active,9+,357,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/211afe402171705985c5fbf288006f27.jpg,2,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/b581505c8243b6f77e7074a9302b6993.jpg,3,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/63ce3f8297de1eb334cea6fd04b280ea.jpg,4,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/39a9186edd13bad8657befb17e18da38.jpg,5,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/978d18e44e6a1d8cbd1cc5fb26bf6d2b.jpg,6,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/7ce50c8d3668bcc77d54f67d9e6495ef.jpg,7,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/d87ff304e0d99547bd6ea15141ecb004.jpg,8,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks",,,,,
