"handle","status","product_id","error"
"lego-71842-lego-ninjago-71842-rontu-the-master-dragon-age-7-building-blocks-2025-381pcs","created","10829404832056",""
"lego-76451-lego-harry-potter-76451-privet-drive-aunt-marge-s-visit-age-8-building-blocks-2025-639pcs","created","10829406667064",""
"lego-71845-lego-ninjago-71845-lloyd-s-jet-mech-age-9-building-blocks-2025-1112pcs","created","10829408403768",""
"lego-75408-lego-star-wars-75408-jango-fett-helmet-age-18-building-blocks-2025-616pcs","created","10829409190200",""
"lego-76315-lego-super-heroes-marvel-76315-iron-man-s-laboratory-hall-of-armor-age-8-building-blocks-2025-384pcs","created","10829409714488",""
"lego-42154-lego-technic-42154-2022-ford-gt-age-18-building-blocks-2023-1466pcs","created","10829409976632",""
"lego-42201-lego-technic-42201-deep-sea-research-submarine-age-9-building-blocks-2025-413pcs","created","10829410533688",""
"lego-10318-lego-d2c-icons-10318-concorde-age-18-building-blocks-2023-2083pcs","created","10829410992440",""
"lego-42177-lego-technic-42177-mercedes-g500-4-4-age-18-building-blocks-2024-2891pcs","created","10829411877176",""
"lego-10445-lego-duplo-10445-f1-team-race-cars-and-drivers-age-2-building-blocks-2025-70pcs","created","10829412532536",""
"lego-21061-lego-lego-architecture-21061-notre-dame-de-paris-age-18-building-blocks-2024-4383pcs","created","10829412958520",""
"lego-42170-lego-technic-42170-kawasaki-ninja-h2r-motorcycle-age-10-building-blocks-2024-643pcs","created","10829413384504",""
"lego-10453-lego-duplo-10453-funfair-age-2-building-blocks-2025-53pcs","created","10829413646648",""
"lego-21062-lego-architecture-21062-trevi-fountain-age-18-building-blocks-2025-1880pcs","created","10829413876024",""
"lego-21060-lego-architecture-21060-himeji-castle-age-18-building-blocks-2023-2125pcs","created","10829414072632",""
"lego-75402-lego-star-wars-75402-arc-170-starfighter-age-9-building-blocks-2025-497pcs","created","10829414596920",""
"lego-75398-lego-star-wars-75398-buildable-c-3po-age-18-building-blocks-2024-1138pcs","created","10829415678264",""
"lego-76313-lego-super-heroes-marvel-76313-marvel-logo-and-minifigures-age-12-building-blocks-2025-931pcs","created","10829416104248",""
"lego-21058-lego-architecture-21058-the-great-pyramids-of-giza-age-18-building-blocks-2022-1476pcs","created","10829417120056",""
"lego-75389-lego-star-wars-75389-the-dark-falcon-age-10-building-blocks-2024-1579pcs","created","10829417906488",""
"lego-42202-lego-technic-42202-ducati-panigale-v4-s-motorcycle-age-18-building-blocks-2025-1603pcs","created","10829418529080",""
"lego-71830-lego-ninjago-71830-kai-s-mech-storm-rider-age-7-building-blocks-2025-333pcs","created","10829419086136",""
"lego-10425-lego-duplo-10425-train-tunnel-and-tracks-expansion-set-age-2-building-blocks-2025-20pcs","created","10829420101944",""
"lego-10428-lego-duplo-10428-big-interactive-community-train-age-3-building-blocks-2025-103pcs","created","10829420462392",""
"lego-10446-lego-duplo-10446-3in1-wild-animal-families-age-2-building-blocks-2025-92pcs","created","10829421019448",""
"lego-42176-lego-technic-42176-porsche-gt4-e-performance-race-car-age-10-building-blocks-2024-834pcs","created","10829421314360",""
"lego-60467-lego-city-60467-heavy-duty-recovery-tow-truck-with-crane-age-8-building-blocks-2025-793pcs","created","10829421773112",""
"lego-42209-lego-technic-42209-volvo-l120-electric-wheel-loader-age-9-building-blocks-2025-973pcs","created","10829422231864",""
"lego-76976-lego-jurassic-world-76976-spinosaurus-and-quetzalcoatlus-air-mission-age-8-building-blocks-2025-984pcs","created","10829422297400",""
"lego-10451-lego-duplo-10451-3in1-dinosaurs-on-wheels-age-3-building-blocks-2025-108pcs","created","10829422395704",""
"lego-43269-lego-disney-classic-43269-101-dalmatians-puppy-age-18-building-blocks-2025-1722pcs","created","10829422559544",""
"lego-71836-lego-ninjago-71836-arc-dragon-of-focus-age-9-building-blocks-2025-869pcs","created","10829422657848",""
"lego-71831-lego-ninjago-71831-ninja-spinjitzu-temple-age-4-building-blocks-2025-158pcs","created","10829422756152",""
"lego-42143-lego-d2c-technic-42143-ferrari-daytona-sp3-age-18-building-blocks-2022-3778pcs","created","10829422821688",""
"lego-42217-lego-technic-42217-chevrolet-corvette-stingray-blue-age-9-building-blocks-2025-732pcs","created","10829422919992",""
"lego-60466-lego-city-60466-yellow-bulldozer-age-8-building-blocks-2025-682pcs","created","10829423018296",""
"lego-76454-lego-harry-potter-76454-hogwarts-castle-the-main-tower-age-10-building-blocks-2025-2135pcs","created","10829423116600",""
"lego-60423-lego-city-60423-downtown-streetcar-and-station-age-7-building-blocks-2024-811pcs","created","10829423214904",""
"lego-31175-lego-creator3-in-1-31175-unicorn-castle-age-8-building-blocks-2025-390pcs","created","10829423280440",""
"lego-75432-lego-star-wars-75432-v-19-torrent-starfighter-age-9-building-blocks-2025-567pcs","created","10829423378744",""
"lego-31167-lego-creator3-in-1-31167-haunted-mansion-age-9-building-blocks-2025-736pcs","created","10829423444280",""
"lego-75434-lego-star-wars-75434-k-2so-age-10-building-blocks-2025-845pcs","created","10829423542584",""
"lego-42214-lego-technic-42214-lamborghini-revuelto-super-sports-car-age-10-building-blocks-2025-1135pcs","created","10829423640888",""
"lego-75417-lego-star-wars-75417-at-st-walker-age-18-building-blocks-2025-1513pcs","created","10829423706424",""
"lego-75640-lego-one-piece-75640-the-baratie-floating-restaurant-age-18-building-blocks-2025-3402pcs","created","10829423804728",""
"lego-76329-lego-super-heroes-marvel-76329-miles-morales-mask-age-18-building-blocks-2025-487pcs","created","10829423968568",""
"lego-10448-lego-duplo-10448-3in1-animals-on-wheels-age-2-building-blocks-2025-58pcs","created","10829424001336",""
"lego-76324-lego-super-heroes-marvel-76324-spider-man-vs-oscorp-age-10-building-blocks-2025-808pcs","created","10829424066872",""
"lego-75403-lego-star-wars-75403-grogu-with-hover-pram-age-10-building-blocks-2025-1048pcs","created","10829424132408",""
"lego-71844-lego-ninjago-71844-ninja-combat-vehicle-age-8-building-blocks-2025-561pcs","created","10829424165176",""
"lego-71846-lego-ninjago-71846-the-fire-knight-mech-age-14-building-blocks-2025-996pcs","created","10829424197944",""
"lego-71847-lego-ninjago-71847-the-guardian-dragon-age-14-building-blocks-2025-1650pcs","created","10829424263480",""
"lego-10470-lego-duplo-10470-3-in-1-modern-family-house-with-figures-166-pieces-building-blocks","created","10829424361784",""
